source,question,correct_answer,answer_option_2,answer_option_3,answer_option_4,answer_option_5,explanation
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt",Which of the following is not a measure of central tendency that psychologists use?,Variability,Mean,Median,Mode,Standard Deviation,"Mean, median and mode are the  primary measures of central tendency. Additionally, psychologists look at standard"
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt",Which of the following best explains the longitudinal research method?,Assessing changes in a small group at different intervals over time,Observing one individual or group in their natural environment for a period of time,Comparing groups of various ages for a long time,Comparing a large group of foreigners,Following a small group of people until they die,The longitudinal research method  entails repeated observations of the same experimental group over a usually long period  of time. This method is correlational rather than experimental.
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","In research terms, what qualifies a study as ""valid?""",If the study measures what it claims to be measuring,If the study succeeds,If the study proves the hypothesis,If the study fails,If the study is conducted under strict conditions,The concept of validity states that a  test is valid if it measures what it claims to measure.
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt",What type of study involves watching participants to see how they behave?,Naturalistic Observation,Case Study,Experiment,Interview,Questionnaire,Naturalistic observation refers to the  collection of data without manipulation of the environment. The goal of naturalistic  observation is to study the behavior of an organism in its natural settings.
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt",Dr. Miller believes there is a relationship between the amount of carbohydrates a child  eats and the hyperactivity of a child. This belief is _______________.,a theory,a variable,a hypothesis,untestable,all of the above,"Psychology is based on observable  events and the scientific method. Psychologists use theories to help organize a variety of  observable events, make sense of them, make predictions about them, and connect them  with more comprehensive principles. In essence, theories explain observable events in a  meaningful way. Keep in mind that theories are not as specific as hypotheses, which are  so specific that we use them to make predictions in research. Theories are general  explanations about behavior and events."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","Instead of studying his spelling words like everyone else, Scott copies from other people  when the teacher gives a test. B.F. Skinner would likely attribute Scott's cheating to _____________.",The fact that he was rewarded for cheating on a test in the past.,A genetic tendency to maximize his opportunities for promoting himself above others.,"His underdeveloped frontal lobe, which is used in complex decision making and  judgment.","His perception that the test is too difficult, and, therefore, his cheating is justified.",Inner conflicts that are buried deep in his unconscious.,"B.F. Skinner is considered the father  of operant conditioning, a learning process that demonstrates that actions that are  rewarded are more likely to be repeated. Skinner would state that because Scott  succeeded on earlier tests by copying, he believes he will continue to succeed on tests by  cheating."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt",Dr. Daugherty studies how the thickness of the beaks of one species of birds has  undergone changes in response to drought and other environmental factors over a long period of time. Which psychological approach does Dr. Daugherty take?,Evolutionary,Behavioral,Biological,Humanistic,Sociocultural,"Recognizing the key factor that this  is over ""a long period of time,"" the only choice that works here is evolutionary."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt",What was the name of the pseudoscientific approach to cerebral localization of function  that used measurements of bumps and indentations of the skull?,Phrenology,Evolutionary Theory,Prosopagnosia,Psychology,Skullogy,Phrenology links cerebral location  to function based on bumps in the head; this concept has been discredited. Phrenology  was an important step in the development of neuropsychology.
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","Who, in opposition to Freud, was considered the father of behaviorism?",Watson,Bandura,Hanson,Skinner,Thorndike,"John Watson believed that  psychology should be a study of only what can be observed, which is in clear opposition  to Freud's philosophy due to Freud's consideration and prioritization of the unconscious."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","If the mean, median, and mode are identical, what kind of distribution is present?",Normal distribution,Ideal distribution,Negatively skewed distribution,Positively skewed distribution,This is not possible,"A normal distribution, also known  as a bell curve, is symmetric across a vertical axis composed of the mean, median, and  mode."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","In a normal distribution, what is the percentage of scores that lie within one standard  deviation of the mean?",68,24,34,50,90,"68% of scores fall within one  standard deviation of a normal distribution; 34% above the mean, and 34% below the mean."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","On a scatter plot, a pattern extends from the lower-left corner to the upper-right corner.  This pattern reflects that this scatterplot shows ______________.",Positive correlation,Negative correlation,No correlation,Negative skew,Positive skew,"In cases where the dependent  variable increases as the independent variable increases, as it does in this example, the  data show a positive correlation. A best fit line for this data would have a positive slope."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt","Patrick wants to talk to his mother about his weekly allowance. It is currently $1, and he  would like it to be increased. He gathers data from several of his friends: $2, $4, $4, $5,  $7, $20. To make the best argument to his mother, Patrick would be well-advised to use  which measure of central tendency?",Mean,Median,Mode,Standard deviation,Variance,"Patrick would be well-advised to  use the mean. It always goes in the direction of the skew, and the $20 allowance that he  found skews the distribution nicely (for the purposes of his argument)."
"xAP Psychology Practice Test 1 History, Approaches, _ Research Methods.txt",We've compared two sets of data in a correlational study and have found a correlation  coefficient of +.83. We can legitimately conclude that there's what kind of relationship  between our measures?,Strong positive relationship,No relationship,Strong inverse relationship,Weak inverse relationship,Weak positive relationship,"A correlation this strong expresses a  strong positive relationship between the two sets of measures. Correlation coefficients  range from -1 to 1 with -1 indicating a perfect negative correlation, 0 indicating no  correlation, and 1 indicating a perfect positive correlation. A correlation of +0.83 is a  strong positive correlation."
xAP Psychology Practice Test 10 Personality.txt,Humanistic psychology has been most closely associated with an emphasis on the  importance of what?,Positive self-concept,External locus of control,Free association,Projective tests,Reciprocal determinism,"Self-concept refers to how someone thinks about, evaluates, or  perceives themselves. Humanistic psychology focuses on promoting positive  self-concepts grounded in the idea that people are inherently good. This perspective also  stresses the importance of personal agency in actualizing the self."
xAP Psychology Practice Test 10 Personality.txt,Which personality test classifies people in terms of the personality dimensions  highlighted by Carl Jung?,Myers-Briggs Type Indicator,Thematic Apperception Test,Rorschach inkblot test,Minnesota Multiphasic Personality Inventory,Sternberg's Triarchic Personality Test,The MBTI is based on Jung's personality dimensions and  categorizes personality into 16 different types based on an individual's preference for one  side or another of four dichotomous pairs.
xAP Psychology Practice Test 10 Personality.txt,"Who proposed that the mind is split up into three parts — id, ego, and superego?",Sigmund Freud,Mary Horney,Carl Jung,Harry Harlow,Carl Rogers,"Sigmund Freud proposed the idea that the mind consists of  three distinct parts — the id, ego, and superego. According to Freud, the id is primarily  concerned with satisfying wants and needs. The ego is responsible for meeting the id's  demands in ways acceptable to society. The superego relates to ideas of what is right and  wrong."
xAP Psychology Practice Test 10 Personality.txt,What is the act of reverting to childish behaviors?,Regression,Compensation,Rationalization,Repression,Reaction formation,"Regression, as identified by Freud, is the act of retreating to an  earlier stage of development as a means of self preservation."
xAP Psychology Practice Test 10 Personality.txt,"Which of the following theorists would most likely agree with the statement: ""Patients  need to know that we respect them, no matter the choices they make.""?",Carl Rogers,Alfred Adler,Sigmund Freud,Karen Horney,Carl Jung,"Carl Rogers was the leader of the humanistic psychology  movement, spreading the concept of unconditional positive regard. Because of this focus  on unconditional positive regard and compassion toward the human, Carl Rogers is most  likely to agree with the statement."
xAP Psychology Practice Test 10 Personality.txt,Which theory of personality emphasizes the value and importance of unconditional  positive regard in relationships?,Psychoanalytic,Behavioral,Cognitive,Developmental,Humanistic,"An external locus of control is the belief that events in one's life,  regardless of their quality, are caused by uncontrollable factors such as the environment,  other people, or a higher power and are unrelated to the choices made by the individual.  In this case, the person is most likely to blame the grade on the teacher and not on the  lack of time spent studying."
xAP Psychology Practice Test 10 Personality.txt,"Dr. Foster wants to assess the extent to which a client is suffering from depression,  delusions, and other symptoms of psychological disorders. Which personality assessment  would be most helpful for this purpose?",Rorschach Test,Hypnosis,Minnesota Multiphasic Personality Inventory,Myers-Briggs Type Indicator,Thematic Apperception Test,This is a foundational belief in humanistic psychology.
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,"According to the biological perspective, psychological disorders result from _____________________.",Brain abnormalities,Traumatic childhood experiences,Lack of positive self-regard,Distorted thinking,Dysfunctional societal views,"The biological perspective focuses on the chemical and physical,  or biological explanations for human behavior. Those utilizing the biological perspective  investigate the links between physiological factors and an organism's psychology.  Consequently, a biopsychologist is likely to attribute a psychological disorder's cause to be  rooted in a chemical or physical abnormality."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,"What kind of psychologist would be most likely to describe depression as the result of an  unconscious process in which anger is turned inward, likely due to repression?",Psychoanalytic,Biomedical,Cognitive,Behavioral,Sociocultural,Psychodynamic (or psychoanalytic) psychologists view  depression and other mental diseases resulting from the unconscious activity of the  mind.
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,"During the manic phase of a bipolar disorder, individuals are most likely to experience:",high self-esteem.,lethargy.,anhedonia.,delusions of persecution.,uncontrollable grief and despair.,"The manic phase of bipolar disorder is marked by emotional  highs, excessive energy, restlessness, and other erratic behavior. High self-esteem is in  line with the extremely positive self-perception that a person experiencing mania exhibits.  None of the other answer choices are exhibited during the manic phase."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Which of the following is considered to be a psychotic disorder?,schizophrenia,antisocial personality disorder,dissociative identity disorder,post-traumatic stress disorder,obsessive-compulsive disorder,Psychotic disorders are those marked by abnormal thought  patterns and perceptions. People suffering from psychotic disorders often experience  auditory and visual hallucinations or extreme paranoia. Schizophrenia is a disease that  falls under this description. Those suffering from schizophrenia abnormally interpret  reality.
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,An antisocial personality disorder is most likely to be characterized by ________________.,a lack of feelings of guilt.,"a persistent, irrational fear of people.",delusions of grandeur.,disruptions in conscious awareness and sense of identity.,episodes of intense autonomic nervous system arousal.,"Antisocial personality disorder is most commonly linked with a  lack of empathy, compassion, or feeling for other people. Those suffering from antisocial  personality disorder exhibit a long term pattern of disregard for other peoples' feelings  and well-being."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,What are obsessions?,Offensive and unwanted thoughts that persistently preoccupy a person.,False beliefs of persecution of grandeur.,"Hyperactive, wildly optimistic states of emotion.",Periodic episodes of intense dread accompanied by frightening physical sensations.,"Persistent, irrational fears of specific objects or situations.",An obsession is the inability of a person to stop thinking about  a particular topic or to stop feeling a certain emotion without experiencing a high amount  of anxiety as a result.
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,For which of the following would the DSM 5 be most useful?,Denise is chronically depressed.,Kim is excessively introverted.,John is insane.,Tyson is extremely irrational.,Tony is shy.,"The DSM 5 is used by health care professionals in the US as the  authoritative guide to the diagnosis of mental disorders. The DSM 5 contains descriptions,  symptoms, and other criteria for diagnosing mental disorders. The only mental disorder  in this example is in reference to Denise and chronic depression."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,People with a narcissistic personality disorder are likely to be preoccupied with ____________________.,their own self-importance,an irrational fear of people,delusions of persecution,physical symptoms of distress,sexual fantasies,"Narcissistic personality disorder is a mental disorder in which  people have an inflated sense of their own importance, a deep need for admiration and a  lack of empathy for others."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Which category of psychological disorders is most commonly treated in the United  States?,Schizophrenic disorders,Personality disorders,Mood disorders,Sexual disorders,Somatic symptom disorders,"Generalized anxiety disorder, or GAD, is characterized as  excessive, exaggerated anxiety and worry about routine life events with no apparent  reasons for worry. People with symptoms of GAD tend to always expect disaster and  cannot stop worrying about health, family, money, work, or school."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,"Lula Cook's husband, Peter, went on a work trip and never returned home. Lula and her  children presumed him to be dead. Years later, while on a road trip in another state, a  real estate billboard caught Lula's eye — because it was her husband, now with a new life  and a new family! Peter's symptoms and behavior would suggest what psychological  occurrence?",Dissociative identity disorder,Dissociative fugue,Escapism,Learned helplessness,Schizophrenia,"Mood disorders are so common in the United States that they  are often referred to as the ""common cold"" of psychological disorders."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Edward is an institutionalized mental patient who believes that people are out to get him  and that the President communicates directly with him via the ketchup bottle on the  dinner table. Edward is demonstrating what psychological symptom?,Anxiety,Depression,Dissociative disorder,Manic episodes,Paranoia,"Dissociative fugue is an episode of amnesia in which a person is  unable to recall some or all of one's past. This amnesia results in either the loss of one's  identity or the formation of a new identity and typically occurs with a sudden,  unexpected purposeful travel away from home without any other noticeable signs of  illness."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,The DSM 5 classification of psychological disorders does not consider which of the  following to be a disorder?,Schizophrenia,Anorexia nervosa,Depression,Dissociative Identity Disorder,Homosexuality,"This is an extreme, psychotic-level example of paranoia. In more  common forms, an individual may think that people are talking about them whenever  they walk into a room."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Which of the following fears or phobias is considered to be the most common in the  United States?,Intimacy,Blood,Enclosed spaces,Heights,Open spaces,"Although early editions of the DSM included homosexuality as  a disorder, in 1973 the APA voted to remove it. The latest editions of the DSM do not  consider homosexuality to be a psychological disorder."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,"",Generalized Anxiety Disorder,Delusions of Persecution,Dissociative Identity Disorder,Obsessive-compulsive disorder,Posttraumatic Stress Disorder,A fear of heights is the most widespread specific fear in the  United States.
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Someone diagnosed as agoraphobic would most likely be __________________.,Starving themselves because they have a distorted body image,Afraid of being trapped in an enclosed space,Afraid of learning,Afraid of public places,Demonstrating delusions of grandeur,"When a person has experienced a highly traumatic event (like  rape or combat), there is a strong likelihood that the person will relive the event trauma  and avoid anything or anyone who reminds them of the trauma. This disorder can result in extreme responses to any stimulus that is reminiscent of the traumatic event."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Which of the following is true of schizophrenia?,It is caused by an increase in serotonin to the brain.,It affects men more frequently than women.,It is a component of Dissociative Identity Disorder.,It is more prevalent among the wealthy than the poor.,It typically becomes apparent in early adulthood.,Agoraphobia is characterized by fear and even panic at the  prospect of leaving the home alone and being in a public place.
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,"Rod was a boxer, routinely taking punches to his head and body. One day, he was  punched over his right eye, and he indicated immediately afterward that he was blind.  Doctors in the hospital indicated no physiological cause for the blindness. This may be a  case of what psychological disorder?",Traumatic Brain Injury,Anxiety Disorder,Conversion Disorder,Paranoid schizophrenia,Post-Traumatic Stress Disorder,"Schizophrenia typically becomes apparent in early adulthood,  with an average age of onset of 21 among men and 27 among women."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,"David counts the cracks in the sidewalk while he walks to work from his subway stop. As  he sees the front door of his office, he fears he has miscounted and must return to the  subway stop to get an accurate count before beginning his day. What psychological  disorder is this behavior exemplifying?",Conversion disorder,Agoraphobia,Dissociative disorder,Obsessive-compulsive disorder,Schizophrenia,"When the boxer's head was hit and he couldn't see, it was a  conversion reaction with no physiological foundation."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,DSM 5 refers to _____________________.,"Dietary and Statistical Model for Avoidance of Mental Defects, 5th edition","Developmental and Social Expectations for Mental Development, 5th edition","Developmental and Statistical Model of Mental Disorders, 5th edition","Diagnostic and Statistical Manual of Mental Disorders, 5th edition","Drug and Shock for Mental Disorders, 5th edition","This behavior is highly representative of obsessive-compulsive  disorder. OCD commonly results in unreasonable thoughts and behaviors that lead to  repetitive actions called compulsions. Counting steps, in the example provided, is  indicative of such a compulsion."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,DSM 5 contains ____________________.,Environmental causes of disorders,Defined criteria for each psychological disorder,Biological causes of disorders,Suggested treatments for disorders,Preventative measures to avoid developing a disorder,"DSM 5 refers to the Diagnostic and Statistical Manual of Mental  Disorders, 5th edition."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,"Daniel lied, stole, fought, and conned people throughout his life. Further, he felt no guilt  for his actions, even as he ruined the lives of those closest to him. He likely would be  diagnosed with which personality disorder?",Antisocial,Borderline,Schizotypal,Avoidant,Histrionic,The DSM 5 is used to diagnose psychological disorders. It  contains the defined criteria for all psychological disorders. The DSM does not include  information on causes and treatments of disorders.
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Archaeologists and anthropologists have found evidence that prehistoric man may have  used what to treat perceived mental disorders?,Corpus callosum removal,Nothing – they were ostracized from society and left for dead,Religious rituals,Trephining,Walking on hot coals,"Lying, cheating, conning, or killing without any sense of guilt or  remorse is indicative of antisocial personality disorder."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Panic Disorder is classified as which type of disorder?,Mood,Anxiety,Conversion,Dissociative,Undifferentiated,"Evidence suggests that trephining (drilling holes in the skull)  may have been used to release the ""evil spirits"" that prehistoric man believed to be the  cause of mental disorders."
xAP Psychology Practice Test 11 Testing _ Individual Differences.txt,Generalized anxiety disorders ____________________.,Are synonymous with phobias.,Are much less debilitating than phobias.,Can be easily and quickly treated.,Have no specific external cause.,Typically begin due to a tragic event.,"Panic Disorder is classified as an anxiety disorder. It involves  unexpected episodes of dread, terror, and physiological symptoms arising from SNS  arousal (racing heart, etc.), as well as fear of the next episode."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,Francesca's favorable attitude toward the death penalty began to change when she was  asked to offer arguments opposing it in a public speaking class. Her attitude adjustment is  best explained by what theory?,Cognitive dissonance,Judgment,Schachter's Two Factor,Opponent Process,Social Exchange,"Cognitive dissonance refers to a situation involving conflicting  attitudes, beliefs or behaviors. This produces a feeling of discomfort leading to an  alteration in one of the attitudes, beliefs or behaviors to reduce the discomfort and  restore balance."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,Kevin and Kristin have a fulfilling marital relationship because they often confide their  deepest hopes and fears to each other. This best illustrates the value of ________________.,Self-disclosure,Deindividuation,Mere exposure effect,Passionate love,Social facilitation,"Self-disclosure is the act of disclosing personal information with  another person as a means of developing intimacy and closeness between people.  Disclosure is defined through depth and breadth, which are dependent upon the type of  information shared."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,"When 12-year-old Devin saw an old woman lying on the sidewalk in discomfort, he  prepared to offer help. When he noticed several adults walk past the woman, he  concluded that the woman did not need any help. His reaction most clearly illustrates  what social psychology term?",Bystander effect,Fundamental attribution error,Door-in-the face phenomenon,Mere exposure effect,Social loafing,"The bystander effect is a social psychological phenomenon that  refers to cases in which individuals do not offer any means of help to a victim when other  people are present due to the underlying belief that if help was needed, someone else  would have already offered it."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,Most children believe their neighborhood is better than the other neighborhoods in their  town. This best illustrates what social psychology concept?,In-group bias,Fundamental attribution error,Just-world phenomenon,Reciprocity norm,Scapegoating,"In-group favoritism or in-group bias refers to a pattern of  favoring members of one's in-group over out-group members as a means of bonding,  acceptance, and security within the in-group."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,"Compared with individualistic cultures, people in collectivist cultures __________________.",Are less likely to conform among a group of strangers,Are less likely to conform in close family groupings,Are more likely to conform to group pressure in any group,Opt to be more unique when given the opportunity to do so,Put lower value on group harmony,"People in collectivist cultures are more likely to conform among  groups of people they know, and they are less likely to conform among groups of  strangers."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,Jonas and Leif are below-average pool players. Four other people stop to watch them play.  What can we expect of their performance?,Dramatically decline,Continue at the same level,Dramatically improve,Slightly decline,Stop completely,"Because they are below-average pool players, Jonas and Leif's performance is likely to suffer when scrutinized by onlookers. If they were good pool  players, social facilitation theory suggests that their performance would increase  dramatically."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,What is social loafing?,Working harder individually than in groups,A democratic process for group interaction,Playing when expected to be working,The opposite of social inhibition,Working harder in groups than individually,"Social loafing refers to working harder as individuals than in  groups, primarily due to the diffusion of responsibility present when in groups."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,In which situation described below does deindividuation not exist?,Gymnast performing on the uneven bars,KKK members burning a cross,Masked children in Halloween costumes,Platoon soldiers marching in formation,Police officers patrolling the streets,"Wherever one's personal identity is hidden, and the person is  recognized by his or her association with a particular group, deindividuation occurs. In  the case of the gymnast, there is no group present with which he or she could be  identified and thus deindividuated."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,When is groupthink least likely to occur?,Where the leader does not attend a meeting,In cohesive groups,Where a proposed action is seen as moral,Where an outgroup is stereotyped,Where there are mind guards,The leader intentionally being absent from a group meeting is  one safeguard that can be taken against groupthink as there is no clear direction provided  to the group.
xAP Psychology Practice Test 12 Abnormal Behavior.txt,In which of the following situations is help least likely to be received?,Several people see the need for help,A person has been directly asked to help,The help need has been preceded by a model of helping,The need for help is unquestionably clear,There is only one person who sees the help need,"Receiving help in distress is least likely when many people see  the need for help. This is a result of the bystander effect in which people believe that  because there are many people around, someone else is likely to supply the help needed."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,Which of the following does not reinforce prejudice?,Becoming familiar with a person,Authoritarian parental environment,Categorizing people into groups,Strong feelings of frustration,The just-world hypothesis,Becoming familiar with a person from a group one has felt  prejudice toward begins to break down prejudiced attitudes.
xAP Psychology Practice Test 12 Abnormal Behavior.txt,Attraction research supports each of the following except _________________.,"Likes repel, opposites attract",Birds of a feather flock together,Familiarity breeds liking,Interaction frequency is important,Proximity is important,"There has been no research to support the idea that opposites  attract, nor that those who are similar to each other will repel each other."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,Josh receives a phone call from a charity. They ask him to give a $250 donation. He  immediately declines. The caller then asks whether he would be able to give $25. He  agrees to the second request. This interaction sequence is known as the __________________.,Door-in-the-face technique,Foot-in-the-door technique,Highballing technique,Lowballing technique,That's-not-all technique,"In the door-in-the-face technique, the caller asks the potential  donor for an outrageous amount. While the potential donor is still reeling from this  request, the caller follows up by asking whether the donor could contribute a much  smaller amount."
xAP Psychology Practice Test 12 Abnormal Behavior.txt,"Someone comes to your door and asks you to put a small candidate campaign poster in  your front yard. You agree to the request. Just two weeks later, that same person comes  to your door with a huge campaign poster and asks to put it in your front yard. In all  likelihood, you will agree to the second request. This illustrates what principle?",Foot-in-the-door technique,Add-on technique,Door-in-the-face technique,That's-not-all technique,You-help-me-I'll-help-you technique,The foot-in-the-door technique takes an initial modest request  and uses that to segue to a much larger request some time later.
xAP Psychology Practice Test 12 Abnormal Behavior.txt,Research into television violence effects on children makes frequent reference to whose classic work on modeling?,andura,Asch,Freud,Milgram,Watson,Bandura's work on modeling is frequently cited as a  background for discussing the aggression-causing effects of television violence.
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,A student notes that she scored a lot higher on the AP Psychology exam than she did on  her psychology teacher's tests. She would be justified in claiming that the teacher's tests  lack ________________.,Predictive validity,Reliability,Criterion validity,Content validity,Factor analysis,"Predictive validity refers to a test's ability to predict an  outcome in some other area. Since the student's scores on the teacher's tests were very  different from her scores on the AP Exam, the teacher's tests failed to accurately predict  the student's performance on the AP Exam and therefore lacked predictive validity."
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,Katherine is a gifted psychotherapist who connects well with her patients. Which type of  intelligence would she likely use most in her work? _________________,Interpersonal,Linguistic,Intrapersonal,Spatial,Musical,"Aptitude refers to the potential ability to learn something a  person hasn't already learned. For example, a person with speed, strength, good  eye-hand coordination, and quick reflexes would have an aptitude for learning to play"
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,Assessments that evaluate a person's potential to learn a new set of skills are designed to  determine the person's _______ in that area.,Intelligence,Achievement,Aptitude,Bias,grit,"Reliability refers to the consistency of scores on an assessment.  If the participants' scores varied a lot from one administration to the next, the researcher  would conclude that the assessment lacked reliability."
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,A researcher compares participants' scores on multiple administrations of the same  assessment. The researcher is trying to determine whether the assessment demonstrates ________________,Validity,Reliability,Factor Analysis,Aptitude,Standardization,Intelligence tests are normed so that 100 always indicates an  average score.
xAP Psychology Practice Test 13 Treatment of Abnormal Behavior.txt,A score of 100 on a standard intelligence test means that the person taking the test ______________________.,Got a perfectly average score,Scored well below average,Scored slightly above average,Scored well above average,Answered every question correctly,"Stereotype threat occurs when people who know that others  who share their demographic characteristics ( gender, ethnicity, age, etc.) are expected to  do poorly on a particular assessment experience a decrease in their scores on that  assessment."
